|id|subway_name|subway_line|distance|x|y
0|1|백석역|3호선|309|126.788131509803|37.6429623651607
1|2|상수역|6호선|840|126.92242989321456|37.54776618366393
2|2|홍대입구역|2호선|178|126.923778562273|37.5568707448873
3|2|홍대입구역|공항철도|364|126.927010430346|37.5573052656667
4|2|홍대입구역|경의중앙선|381|126.927118938976|37.5574494922411
5|3|강남구청역|7호선|974|127.0413109462156|37.51721617197854
6|3|압구정로데오역|수인분당선|363|127.0406027693898|37.5275184818021
7|3|압구정역|3호선|797|127.02850865895756|37.52649127416921
8|4|뚝섬역|2호선|395|127.04738727881|37.547241554679
9|4|서울숲역|수인분당선|345|127.044746216358|37.543645796605
10|4|응봉역|경의중앙선|849|127.034483653629|37.5499526279456
11|5|녹사평역|6호선|818|126.9865496751|37.5347227952064
12|5|이태원역|6호선|130|126.994333861918|37.5345252050511
13|5|한강진역|6호선|783|127.001765135176|37.5397907743775
14|6|강남역|2호선|94|127.02800140627488|37.49808633653005
15|6|강남역|신분당선|236|127.028185245594|37.4967771303817
16|6|신논현역|9호선|686|127.025492036104|37.504811111562
17|6|신논현역|신분당선|577|127.024926154562|37.5036164990854
18|6|역삼역|2호선|818|127.03646946847|37.5006744185994
19|7|서대문역|5호선|743|126.96663755850754|37.56575193662503
20|7|서울역|1호선|602|126.97209238331357|37.55597933890212
21|7|서울역|경의중앙선|513|126.9713179064219|37.55693330961779
22|7|서울역|공항철도|936|126.96974961781686|37.55332892758497
23|7|서울역|4호선|925|126.972644620034|37.5530287004642
24|7|시청역|1호선|577|126.97719821079865|37.56534539636417
25|7|시청역|2호선|345|126.97559827045151|37.56368183746611
26|7|을지로입구역|2호선|964|126.9821953112953|37.566035517712955
27|7|충정로역|2호선|771|126.96449207476172|37.55976328822766
28|7|충정로역|5호선|885|126.96303964820936|37.56042867918723
29|7|회현역|4호선|561|126.9784372569283|37.55876114587941
30|8|봉은사역|9호선|623|127.060233935114|37.5142554489848
31|8|삼성역|2호선|288|127.06302321147605|37.508822740225305
32|8|삼성중앙역|9호선|763|127.053043676912|37.5129614511319
33|9|압구정로데오역|수인분당선|108|127.0406027693898|37.5275184818021
34|10|옥수역|3호선|943|127.017393782846|37.5415662783673
35|10|옥수역|경의중앙선|944|127.01874455821252|37.540511901869166
36|10|한강진역|6호선|943|127.001765135176|37.5397907743775
37|10|한남역|경의중앙선|631|127.009209110584|37.5294289189437
38|11|뚝섬역|2호선|395|127.04738727881|37.547241554679
39|11|서울숲역|수인분당선|345|127.044746216358|37.543645796605
40|11|응봉역|경의중앙선|849|127.034483653629|37.5499526279456
41|12|몽촌토성역|8호선|901|127.11286534895457|37.5178055794687
42|12|석촌역|8호선|944|127.107004062699|37.5054141216925
43|12|석촌역|9호선|986|127.10676479806769|37.504972845773686
44|12|송파나루역|9호선|807|127.11266171422027|37.51101671275264
45|12|잠실나루역|2호선|788|127.103808749487|37.5207124124456
46|12|잠실역|2호선|346|127.10023101886318|37.51331105877401
47|12|잠실역|8호선|108|127.103270523629|37.5143121584933
48|13|홍대입구역|2호선|578|126.923778562273|37.5568707448873
