id|brandNm|product|location|date|post_date|origin_data_index|start_ymd|end_ymd|date_diff|address_name|address|x|y
0|Dr. GOT YOU|식료품 및 굿즈|신세계 프리미엄 아울렛 여주점 EAST 광장|06.02(금)-06.11(일)|2023-05-31|0.0|20230602|20230611|9|신세계프리미엄아울렛 여주 EAST|경기 여주시 명품로 360|127.61298983008768|37.24217050143996
1|타키|캠핑용품|벨라시타|4/19~4/28|2019-04-19|2.0|20190419|20190428|9|벨라시타|경기 고양시 일산동구 강송로 33|126.79145164110946|37.64205468429397
2|르르르 하우스|팝업스토어|마포구 와우산로23길 56|2021.12.24(금)-2022.01.07(금)|2022-01-03|3.0|20221224|20230107|14|팝마트 플래그십 스토어|서울 마포구 와우산로23길 56|126.923789256948|37.5552597685399
3|한달만고깃집|고깃집|강남구 선릉로155길 23-4 2층|03.15(수)-04.14(금)|2023-04-01|4.0|20230315|20230414|30|후추네|서울 강남구 선릉로155길 23-4|127.037434057379|37.5254373129874
4|노우라이|바디 케어|성수|02.14(화)-03.19(일)|2023-03-03|5.0|20230214|20230319|33|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
5|지구식단|식품|용산|04.14-04.27|2023-04-21|6.0|20230414|20230427|13|이태원거리|서울 용산구 이태원동 119-23|126.99580922812|37.5345613066561
6|설화수|화장품|강남역 11번출구|5/16~5/28|2019-05-24|7.0|20190516|20190528|12|강남역 2호선 11번출구|서울 강남구 역삼동 820-10|127.02750296776951|37.49883338787401
7|세로토닌마켓|주얼리|시청역 퍼시픽타워|8/5~8/9|2019-08-05|10.0|20190805|20190809|4|퍼시픽타워|서울 중구 세종대로9길 41|126.972990175293|37.5613612035272
8|나따오비까|에그타르트|현대백화점 무역센터|5/10~6/9|2019-05-14|11.0|20190510|20190609|30|현대백화점 무역센터점|서울 강남구 테헤란로 517|127.05977475920854|37.508651435836725
9|가민|스마트기기|압구정 갤러리아|6/28~7/25|2019-07-17|12.0|20190628|20190725|27|갤러리아백화점 WEST점|서울 강남구 압구정로 343|127.04014394421372|37.52842774945761
10|베스킨라빈스|포켓몬 제품|서울 용산구 독서당로 93|05.05(목)- 06.19(일)|2022-05-13|13.0|20220505|20220619|45|배스킨라빈스 HIVE한남점|서울 용산구 독서당로 93|127.010599186521|37.5350114057698
11|앱솔루트|팝업스토어|성수|07.07(목)-07.31(일)|2022-07-12|15.0|20220707|20220731|24|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
12|벨리곰|팝업스토어|서울 송파구 올림픽로 300 잠실 롯데월드몰 1층 아트리움 광장|12.27(화)-01.11(수)|2023-01-03|16.0|20231227|20240111|15|호카 롯데월드몰 잠실점|서울 송파구 올림픽로 300|127.104133720427|37.5136122218451
13|올리브영|클린뷰티|마포구 동교로 29길 34|03.18(금) - 03.27(일)|2022-03-22|17.0|20220318|20220327|9|연남방앗간|서울 마포구 동교로29길 34|126.923162089564|37.5620564830099
14|마우리치오 카텔란|전시|리움미술관|01.31(화)-07.16(일)|2023-02-22|18.0|20230131|20230716|166|리움미술관|서울 용산구 이태원로55길 60-16|126.99911744955163|37.53833657002706
15|말리부|떡볶이|해피치즈스마일 연남점|10.25(월)-11.07(일)|2021-10-26|19.0|20211025|20211107|13|해피치즈스마일 연남점|서울 마포구 동교로 244-1|126.924488888313|37.5617690201817
16|데일리라이크|팝업스토어|영등포구 여의대로 108 더현대 서울 5층|04.29(금)-05.26(목)|2022-05-04|20.0|20220429|20220526|27|더현대 서울|서울 영등포구 여의대로 108|126.92844612411159|37.525872071029134
17|시그니처스토어|프리마켓|잠실롯데몰|12/01~12/05|2018-12-04|22.0|20181201|20181205|4|롯데월드타워&롯데월드몰|서울 송파구 올림픽로 300|127.104079482694|37.5136519138098
18|두껍상회|팝업스토어|강남구 강남대로 420|11.24(수)-01.23(목)|2021-11-30|23.0|20211124|20220123|60|두껍상회 강남|서울 강남구 강남대로 420|127.02704431689625|37.50018049799446
19|투쿨포스쿨|젤라또|서울숲2길 42, 갤러리 더봄|04.08(토)-04.19(수)|2023-04-14|25.0|20230408|20230419|11|갤러리더봄|서울 성동구 서울숲2길 42|127.043140957778|37.5463349755257
20|29맨션|팝업스토어|용산구 한남대로 202-1|05.14(토)-05.22(일)|2022-05-13|27.0|20220514|20220522|8|하나은행 Club1 한남PB센터|서울 용산구 한남대로 98|127.005494344228|37.5370002619693
21|막례스토랑|식품|현대백화점 판교점|07.15(금)-07.21(목)|2022-07-13|28.0|20220715|20220721|6|현대백화점 판교점|경기 성남시 분당구 판교역로146번길 20|127.11204751299005|37.39279718014944
22|선데이플래닛|식물|성동구 서울숲길 50 1층|04.05(화)-04.17(일)|2022-04-07|29.0|20220405|20220417|12|프로젝트렌트 2호점|서울 성동구 서울숲길 50|127.042974381639|37.5479027742714
23|뉴진스|굿즈|더현대서울|08.12(금)-08.31(수)|2022-08-19|32.0|20220812|20220831|19|더현대 서울|서울 영등포구 여의대로 108|126.92844612411159|37.525872071029134
24|더 퍼스트 슬램덩크|굿즈|영등포구 여의대로 108, 지하2층|01.26(목)-02.07(화)|2023-01-26|33.0|20230126|20230207|12|더현대 서울|서울 영등포구 여의대로 108|126.92844612411159|37.525872071029134
25|PROJECT 555|팝업스토어|연희동|11.11(금)-11.14(월)|2022-11-14|34.0|20221111|20221114|3|인천둘레길 2코스|인천 서구 공촌동|126.69011978495455|37.54411984257326
26|독닙료리집|료리집|익선동|6/19~7/21|2019-07-14|35.0|20190619|20190721|32|익선동한옥거리|서울 종로구 익선동|126.989775723896|37.5734371942191
27|베이브|와인|마포구 연남동 257-19|05.01-05.31|2021-05-25|36.0|20210501|20210531|30|유동커피|서울 마포구 동교로29길 42|126.922867448986|37.5624094814747
28|호떡스|떡 및 굿즈|영등포구 여의대로 108, 더현대서울 5층 플레이인더박스|03.07(화)-05.08(월)|2023-03-23|38.0|20230307|20230508|62|더현대 서울|서울 영등포구 여의대로 108|126.92844612411159|37.525872071029134
29|르메르디앙, 목시|호텔|성동구 연무장15길 11, 에스팩토리 B동|11.09-11.20(일)|2022-11-15|39.0|20221109|20221120|11|에스팩토리 B동|서울 성동구 연무장15길 11|127.059283625744|37.5426230657514
30|탐스와 빅토리아|패밀리슈즈|DDMC|12/12~12/14|2018-12-12|41.0|20181212|20181214|2|상암DDMC|서울 마포구 매봉산로 75|126.892859814848|37.5784453978311
31|갤럭시|스마트폰, 이어폰|강남구 강남대로 426, 일상비일상의틈 1층|02.03(금)-02.26(일)|2023-02-17|42.0|20230203|20230226|23|일상비일상의틈|서울 강남구 강남대로 426|127.02675721166952|37.50058151106175
32|Shinjeo|모자|신세계강남|12/24~12/30|2018-12-26|43.0|20181224|20181230|6|신세계백화점 강남점|서울 서초구 신반포로 176|127.00432032924516|37.505305732081965
33|밀크터치|뷰티|성동구 서울숲길 50|04.01(토)-04.09(일)|2023-03-31|44.0|20230401|20230409|8|프로젝트렌트 2호점|서울 성동구 서울숲길 50|127.042974381639|37.5479027742714
34|베이커스|빨미까레|신세계센텀|12/21~1/3|2018-12-30|45.0|20181221|20190103|13|신세계백화점 센텀시티점|부산 해운대구 센텀남대로 35|129.12907174004943|35.16864392798528
35|매튜스|서핑수트|성수동|7/1~7/21|2019-07-04|46.0|20190701|20190721|20|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
36|헤지스|썸머 제품|성수|05.05(목)-05.22(일)|2022-05-11|47.0|20220505|20220522|17|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
37|디올|S/S컬렉션, 레이디 디올백, 레디투웨어 컬렉션|신세계 대구 5층|3/5~3/17|2019-03-12|48.0|20190305|20190317|12|신세계백화점 대구점|대구 동구 동부로 149|128.6289648557988|35.8777969311124
38|디즈니 프린세스|굿즈|롯데월드몰 지하1층|2월 21일 - 3월 31일|2020-02-21|50.0|20200221|20200331|39|롯데월드타워|서울 송파구 올림픽로 300|127.10255558658325|37.51260447840551
